Crop_Year,State,District,Crop,Yield,Crop_Cat,Area,Production
2010,Chhattisgarh,Durg,Rice,1.69577,Rice,777920.0,1319180.0
2011,Chhattisgarh,Durg,Rice,1.75623,Rice,806550.0,1416480.0
2012,Chhattisgarh,Durg,Rice,1.90097,Rice,807070.0,1534220.0
2013,Chhattisgarh,Durg,Rice,1.5818599999999998,Rice,819440.0,1296240.0
2014,Chhattisgarh,Durg,Rice,1.7298900000000001,Rice,834870.0,1444240.0
2015,Chhattisgarh,Durg,Rice,1.07695,Rice,817680.0,880600.0
2016,Chhattisgarh,Durg,Rice,2.08596,Rice,858910.0,1791660.0
2017,Chhattisgarh,Durg,Rice,1.1689200000000002,Rice,841130.0,983210.0
2010,Chhattisgarh,Bastar,Rice,1.90545,Rice,621890.0,1184980.0
2011,Chhattisgarh,Bastar,Rice,1.23123,Rice,627730.0,772880.0
2012,Chhattisgarh,Bastar,Rice,2.10306,Rice,637800.0,1341330.0
2013,Chhattisgarh,Bastar,Rice,1.9694,Rice,642790.0,1265910.0
2014,Chhattisgarh,Bastar,Rice,2.12933,Rice,646700.0,1377040.0
2015,Chhattisgarh,Bastar,Rice,1.03087,Rice,644560.0,664460.0
2016,Chhattisgarh,Bastar,Rice,1.97324,Rice,656260.0,1294970.0
2017,Chhattisgarh,Bastar,Rice,1.21423,Rice,660360.0,801820.0
2010,Chhattisgarh,Raipur,Rice,1.66171,Rice,915400.0,1521130.0
2011,Chhattisgarh,Raipur,Rice,1.48367,Rice,958010.0,1421370.0
2012,Chhattisgarh,Raipur,Rice,1.98725,Rice,993680.0,1974690.0
2013,Chhattisgarh,Raipur,Rice,1.73323,Rice,1009220.0,1749210.0
2014,Chhattisgarh,Raipur,Rice,2.0558,Rice,1034990.0,2127730.0
2015,Chhattisgarh,Raipur,Rice,1.43157,Rice,986910.0,1412830.0
2016,Chhattisgarh,Raipur,Rice,2.4100900000000003,Rice,1009290.0,2432480.0
2017,Chhattisgarh,Raipur,Rice,1.58596,Rice,959010.0,1520950.0
2010,Chhattisgarh,Bilaspur,Rice,1.88983,Rice,705670.0,1333610.0
2011,Chhattisgarh,Bilaspur,Rice,2.0790100000000002,Rice,749080.0,1557350.0
2012,Chhattisgarh,Bilaspur,Rice,2.33761,Rice,747270.0,1746820.0
2013,Chhattisgarh,Bilaspur,Rice,2.17195,Rice,726150.0,1577160.0
2014,Chhattisgarh,Bilaspur,Rice,2.3104299999999998,Rice,728840.0,1683920.0
2015,Chhattisgarh,Bilaspur,Rice,1.83192,Rice,731830.0,1340650.0
2016,Chhattisgarh,Bilaspur,Rice,2.55421,Rice,727500.0,1858190.0
2017,Chhattisgarh,Bilaspur,Rice,1.77997,Rice,727940.0,1295710.0
2010,Chhattisgarh,Raigarh,Rice,1.37515,Rice,435050.0,598260.0
2011,Chhattisgarh,Raigarh,Rice,1.4304100000000002,Rice,421320.0,602660.0
2012,Chhattisgarh,Raigarh,Rice,1.51728,Rice,422650.0,641280.0
2013,Chhattisgarh,Raigarh,Rice,1.38792,Rice,418440.0,580760.0
2014,Chhattisgarh,Raigarh,Rice,1.60868,Rice,408900.0,657790.0
2015,Chhattisgarh,Raigarh,Rice,1.01329,Rice,409450.0,414890.0
2016,Chhattisgarh,Raigarh,Rice,1.80023,Rice,424240.0,763720.0
2017,Chhattisgarh,Raigarh,Rice,1.51607,Rice,411120.0,623290.0
2010,Chhattisgarh,Surguja,Rice,1.0759,Rice,371280.0,399460.0
2011,Chhattisgarh,Surguja,Rice,1.40553,Rice,377140.0,530080.0
2012,Chhattisgarh,Surguja,Rice,1.63247,Rice,373710.0,610070.0
2013,Chhattisgarh,Surguja,Rice,1.7042,Rice,371710.0,633470.0
2014,Chhattisgarh,Surguja,Rice,1.80122,Rice,381430.0,687040.0
2015,Chhattisgarh,Surguja,Rice,1.1938199999999999,Rice,369320.0,440900.0
2016,Chhattisgarh,Surguja,Rice,1.73296,Rice,376380.0,652250.0
2017,Chhattisgarh,Surguja,Rice,1.38984,Rice,377070.0,524070.00000000006
2010,Madhya Pradesh,Jabalpur,Rice,1.0258099999999999,Rice,151100.0,155000.0
2011,Madhya Pradesh,Jabalpur,Rice,1.29759,Rice,157600.0,204500.0
2012,Madhya Pradesh,Jabalpur,Rice,1.60825,Rice,182130.0,292910.0
2013,Madhya Pradesh,Jabalpur,Rice,1.931,Rice,188690.0,364360.0
2014,Madhya Pradesh,Jabalpur,Rice,1.27374,Rice,179000.0,228000.0
2015,Madhya Pradesh,Jabalpur,Rice,1.1202999999999999,Rice,169000.0,189330.0
2016,Madhya Pradesh,Jabalpur,Rice,2.90071,Rice,225000.0,652660.0
